Name,Date,PDF Url
Sutliff Chevrolet Company,21/12/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Sutliff%20Chevrolet%20Co12212012.pdf
"Grant Equity, Inc. d/b/a Towanda Automart",18/12/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Grant%20Equity%20Inc%20Twanda%20Automart%2012182012.pdf
"Alpha Motor Sales, Inc.",14/12/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Alpha%20Motor%20Sales%20Inc%2012142012.pdf
"Deer Lake Auto Sales, Inc.",13/12/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Deer%20Lake%20Auto%20Sales%20Inc%2012132012.pdf
"Granite Run Buick GMC, Inc. d/b/a Granite Run Buick GMC",10/12/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Granite%20Run%20Buick%20GMC%20Inc%2012102012.pdf
Bud’s Auto Sales,20/26/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Buds%20Auto%20Sales%201262012.pdf
Battlefield Auto Sales LLC,27/11/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Battlefield%20Auto%20Sales%2011272012.pdf
"CK Marketing, Inc.",21/11/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/CK%20Marketing%20Inc%2011212012.pdf
"Lawrence Hartman, Jr., Inc. d/b/a Yough Motor Sports",15/11/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Lawrence%20Hartman%20Jr%20Inc%2011152012.pdf
"Riverbend Associates, Inc. d/b/a Moose Motors",20/19/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Riverbend%20Associates1192012.pdf
"Cornerstone Lending, Inc.",20/16/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/CornerstoneLendingInc1162012.pdf
"C. Harper Ford, Inc. d/b/a C. Harper Kia",20/11/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/CHarperFordInc1112012.pdf
"Infinite Mortgage Services, LLC",26/10/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Infinate%20Mortage%20ServicesLLC10262012.pdf
"Panam Funding, Inc.",26/10/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/PanamFundingInc10262012.pdf
"Express Mortgage Financial Services, P.C., and Brittny Diana Walls",20/03/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Express%20Mortgage%20Financial%20and%20Brittny%20Diana%20Walls1032012.pdf
"Unique Motors, Inc.",20/02/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Unique%20Motors,%20Inc.1022012.pdf"
Rick O. Conner,20/28/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Rick%20O.%20Conner9282012.pdf
"4 Rides Auto Sales, LLC",20/24/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/4%20Rides%20Auto%20Sales,%20LLC9242012.pdf"
"Lawson Bros. Quality Auto, Inc.",20/19/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Lawson%20Bros%20Quality%20Auto%20Inc9192012.pdf
SI Mortgage Company,20/18/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/SI%20Mortgage%20Co%209182012.pdf
FIRMA Foreign Exchange Corporation (U.S.) Ltd.,20/17/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Firma%20Foreign%20Exchange%20Corp%20LTD%209172012.pdf
"Prime Motors, Inc.",20/22/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Prime%20Motors%20Inc%209222012.pdf
"U.S. Mortgage Funding, Inc.",20/10/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/US%20Mortgage%20Funding%20Inc%209102012.pdf
Coke’s Auto,20/95/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Cokes%20Auto952012.pdf
"Strategic Funding, LLC",20/30/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Strategic%20Funding%20LLC%208302012.pdf
"A New Beginning, Inc.",20/22/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/A%20New%20Beginning,%20Inc.8222012.pdf"
"DSI-ITI, LLC",20/21/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/DSI-ITI%20LLC%208212012.pdf
New Hope Financial,20/13/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/New%20Hope%20Financial%208132012.pdf
"Love Homes, Inc. and Lawrence W. Higgins",20/26/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Love%20Home,%20Inc%20and%20Lawrence%20Higgins%207262012.pdf"
"Brodheadsville Chevrolet, Inc. and William Rosado",20/24/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/BrodheadsvilleChevroletIncandWilliamRosado7242012.pdf
"Lehighton Chrysler, Inc.",20/24/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/LehightonChryslerInc7242012.pdf
"Milford Suzuki Sales, Inc. and William Rosado",20/24/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/MilfordSuzukiSalesIncandWilliamRosado7242012.pdf
"Dickson City Hyundai, Inc. and William Rosado",20/24/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/DicksonCityHyundaiIncandWilliamRosado7242012.pdf
"Milford Chrysler Sales, Inc.",20/24/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/MilfordChruslerSalesInc7242012.pdf
"USLMP, Inc. and Capital Debt Management, Inc.",20/73/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/USLMP,%20Inc%20and%20Capital%20Debt%20Management%20Inc%20732012.pdf"
"WCS Lending, LLC",20/73/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/WCS%20Lending%20LLC%20732012.pdf
"Clearwater Bay Marketing, LLC and Sandpoint Capital, LLC",20/27/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/ClearwaterandSandpointCAO6272012.pdf
"The Money Source, Inc.",20/21/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/TheMoneySource,Inc6212012.pdf"
Barron Mortgage Corp.,20/20/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Barron%20Mortgage%20Corp6202012.pdf
"Davies Ford, Inc.",20/19/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Davies%20Ford,%20Inc6192012.pdf"
"Milis Auto Center, Inc. d/b/a Rolls Auto Sales",20/13/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Milis%20Auto%20Center,%20Inc%20Rolls%20Auto%20Sales6132012.pdf"
"Capital Wealth Management Group, LLC",20/66/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Capital%20Wealth%20management%20Group,%20LLC%20662012.pdf"
"Down Under Ventures, Ltd. d/b/a Cash Jar; Hong Kong Partners Ltd. d/b/a Cash Jar; Henderson, Wyatt, Weinstein and Associates; and District Restitution Services",20/22/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Down%20Under%20Ventures%20LTD.%20Cash%20Jar%205222012.pdf
"Corridor Mortgage Group, Inc.",20/21/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Corridor%20Mortgage%20Group%20Inc.%205212012.pdf
"International Automotive Services, Inc. d/b/a Society Hill Motors",20/54/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/International%20Automotive%20Services%20Inc%20542012.pdf
Thomas M. Dadamio d/b/a Albert’s Auto Sales,20/52/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Thomas%20M.%20Dadamio%20Auto%20Sales%20522012.pdf
"US Mortgage Corporation d/b/a Mortgage Concepts Funding, Inc.",20/23/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/us%20mortgage%20corp4232012.pdf
"1st American Law Center, Inc.",20/20/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/1st%20American%20Law%20center%20Inc.%204202012.pdf
"E&E Financial, Inc. and Edward Bederman",20/18/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/EandE%20Financial_Inc4182012.pdf
America First Financial,20/17/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/America%20First%20Financial%204172012.pdf
"South Hills Audi, Inc.",20/16/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/South%20Hills%20Audi%20Inc%204162012.pdf
"Cash Cure, LLC",20/13/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/cash%20cure%20llc%204132012.pdf
"Waheeb, Inc. d/b/a A.W. Auto Sales & Services",20/49/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/WaheebInc492012.pdf
"Allied Home Mortgage Corp., Allied Home Mortgage Capital Corp. and James C. Hodge",20/43/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/allied%20home%20mortgage%20corp432012.pdf
"Pack Management Group, Inc.",20/43/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Pack%20management%20Group%20LLC%20432012.pdf
"The Diversity Management Group, LLC d/b/a Red Line Honda",20/43/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Diversity%20Management%20Group_Red%20Line%20Honda432012.pdf
"The Diversity Management Group, LLC d/b/a Rainbow Honda",20/43/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Diversity%20Management%20Group_Rainbow%20Honda432012.pdf
"General Sales Co., of West Chester, Inc.",20/42/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/General%20Sales%20Co.,%20of%20West%20Chester,%20Inc.422012.pdf"
Bud’s Auto Sales,20/30/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Buds%20Auto%20Sales3302012.pdf
"Peachtree Consultants, Inc. and Brian R. Lozito",20/30/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Peachtree%20Consultants%20Inc%203302012.pdf
"Homesafe America, Inc., Guy Samuel and Scott Schreiber",20/30/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Homesafe%20America%20Inc3302012.pdf
James B. Nutter & Company,20/27/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/JamesBNutterCompany3272012.pdf
"Mortgage Foreclosure Experts, LLC; Philip J. Livolsi; Marco Ferreira; The Denker Law Group a/k/a Denker Law Group; Aaron D. Denker, Esq., LLC; and Aaron D. Denker",26/s3/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Mortgage%20Foreclosure%20Experts32612.pdf
"Prestige Auto Sales, Inc.",16/s3/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Prestige%20Auto%20Sales%2031612.pdf
"Provident Funding Group, Inc. and Provident Funding Associates, LP",39/up/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Provident%20Funding%20Group3912.pdf
"Tri County Auto Center, Ltd. d/b/a Tri County Toyota Scion",37/er/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Tri%20County%20Auto%20Center3712.pdf
Mortgage Tech,36/ch/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Mortgage%20Tech%203612.pdf
L & L Motor Company,36/ny/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/LandL%20Motor%20Company3612.pdf
"R.D.C. Imports, Ltd. d/b/a Foreign Traffic Imports Sales & Service",35/TD/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/RDC%20Imports,%20LTD3512.pdf"
"Michael’s Auto Sales, Inc.",29/c2/2012,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Michaels%20Auto%20Sales,%20Inc%2022912.pdf"
"Car Solutions, LLC d/b/a Car Solutions",28/s2/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Car%20Solutions22812.pdf
"Jackson Federal Mortgage Corp., Jackson Federal Foreclosure Relief and Jackson Federal Home Savers",20/22/2012,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2012/Jackson%20Federal%20Mortgage%20Corp222012.pdf
